Name,StartDateTime,EndDateTime,Organiser,Notes
Room 1,21/05/2023 10:00:00,21/05/2023 11:00:00,Organiser 1,LOREM IPSUM
Room 1,21/05/2023 10:30:00,21/05/2023 11:30:00,Organiser 1,LOREM IPSUM
Room 2,19/05/2023 14:00:00,19/05/2023 15:00:00,Organiser 1,LOREM IPSUM
Room 2,21/05/2023 10:00:00,21/05/2023 11:00:00,Organiser 4,LOREM IPSUM
Room 1,22/05/2023 11:00:00,22/05/2023 13:00:00,Organiser 5,LOREM IPSUM
Room 3,23/05/2023 11:00:00,23/05/2023 13:00:00,Organiser 5,LOREM IPSUM
Room 3,23/05/2023 12:00:00,23/05/2023 13:00:00,Organiser 5,LOREM IPSUM
Room 3,24/05/2023 14:00:00,24/05/2023 15:00:00,Organiser 8,LOREM IPSUM
Room 3,24/05/2023 16:30:00,24/05/2023 17:30:00,Organiser 8,LOREM IPSUM
Room 3,21/05/2023 09:00:00,21/05/2023 10:30:00,Organiser 10,LOREM IPSUM
